1	0	2	0	0	1	0	2	0	0	1	0	2	0	0
0	2	0	5	5	1	0	2	0	0	6	6	7	51	0
1	0	2	0	0	8	0	9	0	0	1	0	2	0	0
6	6	7	51	0	6	6	7	51	0	1	0	2	0	0
8	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	0	6	6	7	51	0	1	0	2	0
1	2	3	4	5	6	1	2	4	5	7	11	1	1	1
5	4	3	2	1	0	0	0	0	0	0	0	0	0	0
1	3	2	1	3	1	0	2	0	0	1	0	2	0	0
9	9	9	9	9	0	0	0	0	0	0	0	0	0	0
0	2	0	5	5	1	0	2	0	0	6	6	7	51	0
1	0	2	0	0	8	0	9	0	0	1	0	2	0	0
6	6	7	51	0	6	6	7	51	0	1	0	2	0	0
8	0	9	0	0	1	0	2	0	0	6	6	7	51	0
1	1	1	1	1	0	6	6	7	51	0	1	0	2	1

-4	1	1	2	8	-1	-2	-3	-4	-5	4	3	2	1	0
0	-5	7	4	4	0	0	0	0	0	0	0	0	0	0
0	0	-6	9	8	1	0	2	0	0	6	6	7	51	0
0	0	0	0	-1	1	0	2	0	0	6	6	7	51	0
-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-4	1	1	2	8	1	0	2	0	0	51	0	6	6	7
0	-5	7	4	4	51	0	6	6	7	1	0	2	0	0
0	0	-6	9	8	2	1	3	1	0	2	0	0	1	0
0	0	0	0	-1	6	1	2	4	5	7	11	1	1	1
-9	0	0	0	0	-10	1	1	1	1	10	1	1	1	1
-4	1	1	2	8	2	1	3	1	0	2	0	0	1	0
0	-5	7	4	4	9	8	7	6	5	5	6	7	8	9
0	0	-6	9	8	0	0	0	0	0	0	0	0	0	0
0	0	0	0	-1	2	1	3	1	0	2	0	0	1	0
-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1

1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1

Matriz A: linha 1 até 15
Matriz B: linha 17 até 31
Matriz C: linha 33 até 47 (Matriz Identidade - para fins de testes)
